page_link,num_sentences,num_words,num_nouns,num_verbs,num_stopwords
https://www.healthline.com/health/abdominal-pain,47,1570,403,243,589
https://www.healthline.com/health/skin/acne,71,1682,420,283,620
https://www.healthline.com/health/adhd,116,2810,835,436,1087
https://www.healthline.com/health/allergies,97,2300,596,372,908
https://www.healthline.com/health/how-do-antibiotics-work,57,1363,319,247,529
https://www.healthline.com/health/anxiety,68,2321,610,370,900
https://www.healthline.com/health/appendicitis,101,2421,602,380,951
https://www.healthline.com/health/what-is-aromatherapy,48,1261,343,213,489
https://www.healthline.com/health/arrhythmia,87,2647,709,410,978
https://www.healthline.com/health/arthritis,51,1494,408,232,561
https://www.healthline.com/health/asthma,63,2217,587,365,872
https://www.healthline.com/health/autism,84,2538,703,406,898
https://www.healthline.com/health/autoimmune-disorders,56,1572,538,197,501
https://www.healthline.com/health/back-pain,73,2401,631,372,949
https://www.healthline.com/health/bipolar-disorder,87,3425,923,480,1278
https://www.healthline.com/health/birth-defects,62,1389,413,212,497
https://www.healthline.com/health/blood-cell-disorders,76,1558,527,228,555
https://www.healthline.com/health/brain-disorders,53,1274,392,155,440
https://www.healthline.com/health/breast-cancer,84,3119,930,498,1236
https://www.healthline.com/health/bug-bites,54,1726,487,288,649
https://www.healthline.com/health/burns,74,1558,405,238,582
https://www.healthline.com/find-care/articles/dentists/tooth-cavities,47,1071,287,171,414
https://www.healthline.com/health/chest-pain,35,964,257,157,368
https://www.healthline.com/health/std/chlamydia,75,2609,657,426,1013
https://www.healthline.com/health/crohns-disease,57,1625,519,218,621
https://www.healthline.com/health/chronic-fatigue-syndrome,40,1763,470,280,674
https://www.healthline.com/health/cocaine,50,1502,366,255,613
https://www.healthline.com/health/cold-flu/cold,79,2098,531,321,823
https://www.healthline.com/health/constipation,52,1237,311,209,478
https://www.healthline.com/health/copd,102,2502,660,425,975
https://www.healthline.com/health/coronary-artery-disease,33,965,319,124,347
https://www.healthline.com/coronavirus,15,631,185,96,242
https://www.healthline.com/health/depression,119,3650,987,576,1324
https://www.healthline.com/health/diabetes,109,2758,750,450,1061
https://www.healthline.com/health/diarrhea,38,1224,323,177,462
https://www.healthline.com/nutrition/diets,29,1075,278,202,402
https://www.healthline.com/health/digestion-problems,29,860,223,136,329
https://www.healthline.com/health/dizziness,33,1155,325,178,420
https://www.healthline.com/health/drug-abuse,83,1851,549,307,622
https://www.healthline.com/health/ear-infections,43,1333,351,183,506
https://www.healthline.com/nutrition/common-eating-disorders,54,2613,722,395,870
https://www.healthline.com/health/eczema,65,1384,358,238,504
https://www.healthline.com/health/endometriosis,114,2846,718,472,1145
https://www.healthline.com/health/epilepsy,82,2461,668,396,976
https://www.healthline.com/health/erectile-dysfunction,118,3623,947,573,1398
https://www.healthline.com/health/fever,37,879,209,132,342
https://www.healthline.com/health/fibromyalgia,107,3354,874,562,1301
https://www.healthline.com/nutrition/fitness,22,753,191,158,311
https://www.healthline.com/health/cold-flu/flu,150,3967,1023,605,1622
https://www.healthline.com/health/food-poisoning,42,1686,480,278,617
https://www.healthline.com/health/fracture,82,1507,363,237,596
https://www.healthline.com/health/fungal-infection,78,2180,572,337,849
https://www.healthline.com/health/fungal-nail-infection,54,1329,326,200,522
https://www.healthline.com/health/fungal-skin-infection,69,2387,638,339,886
https://www.healthline.com/health/gallbladder-problems-symptoms,70,1534,428,259,570
https://www.healthline.com/health/gallstones,51,1476,385,248,592
https://www.healthline.com/health/std/genital-herpes,77,2036,534,327,766
https://www.healthline.com/health/gerd,46,1304,361,201,462
https://www.healthline.com/health/gingivitis,34,859,223,164,323
https://www.healthline.com/health/gout,57,1801,503,285,685
https://www.healthline.com/health/hair-loss,74,1888,511,278,681
https://www.healthline.com/health/headache,59,1798,505,264,668
https://www.healthline.com/health/hearing-loss,45,1153,311,168,430
https://www.healthline.com/health/heart-attack,80,2512,762,388,1007
https://www.healthline.com/health/heart-disease,85,2183,681,330,836
https://www.healthline.com/health/heart-failure,63,1492,471,223,506
https://www.healthline.com/health/heartburn,66,1652,436,261,647
https://www.healthline.com/health/hemorrhoids,52,1365,391,202,492
https://www.healthline.com/health/hepatitis-c,62,1888,554,287,704
https://www.healthline.com/health/hernia,102,2719,674,440,1090
https://www.healthline.com/health/hip-pain,55,1357,359,213,517
https://www.healthline.com/health/hiv-aids,170,4478,1288,719,1748
https://www.healthline.com/health/hives,56,1570,380,266,617
https://www.healthline.com/health/human-papillomavirus-infection,59,1857,533,273,693
https://www.healthline.com/health/high-blood-pressure-hypertension,97,2650,769,423,977
https://www.healthline.com/health/hyperthyroidism,63,1801,518,282,630
https://www.healthline.com/health/hypotension,79,1742,481,287,629
https://www.healthline.com/health/hypothyroidism/symptoms-treatments-more,136,3977,1075,647,1458
https://www.healthline.com/health/indigestion,42,1222,356,174,421
https://www.healthline.com/parenthood/baby,14,424,83,85,175
https://www.healthline.com/parenthood/infertility,12,303,80,52,115
https://www.healthline.com/health/insomnia,59,1926,506,310,689
https://www.healthline.com/health/iron-deficiency-anemia,92,2144,627,326,818
https://www.healthline.com/health/irritable-bowel-syndrome,57,1542,442,235,560
https://www.healthline.com/health/joint-pain,37,868,251,116,341
https://www.healthline.com/health/kidney-stones,52,1668,489,269,616
https://www.healthline.com/health/leg-pain,37,933,257,142,364
https://www.healthline.com/health/lice-what-are-lice,60,1642,430,266,668
https://www.healthline.com/health/low-testosterone,77,2393,679,391,891
https://www.healthline.com/health/lung-cancer,77,2098,640,320,757
https://www.healthline.com/health/lyme-disease,52,1897,547,304,736
https://www.healthline.com/health/malaria,42,1059,276,178,421
https://www.healthline.com/medicare,16,361,111,61,134
https://www.healthline.com/health/menopause,48,1545,454,245,544
https://www.healthline.com/health/painful-menstrual-periods,35,909,257,132,351
https://www.healthline.com/health/menstrual-problems,51,1166,253,181,461
https://www.healthline.com/mental-health,23,631,156,124,244
https://www.healthline.com/health/migraine,86,2529,653,410,967
https://www.healthline.com/health/mouth-ulcers,27,1017,293,146,363
https://www.healthline.com/health/multiple-sclerosis,69,2258,615,350,877
https://www.healthline.com/health/muscle-aches,31,765,222,117,291
https://www.healthline.com/health/musculoskeletal-disorders,32,705,190,110,247
https://www.healthline.com/health/nausea-and-vomiting,46,1342,359,212,488
https://www.healthline.com/health/neck-pain,29,951,272,142,359
https://www.healthline.com/health/nosebleed,60,1244,313,201,494
https://www.healthline.com/nutrition,17,696,185,136,253
https://www.healthline.com/health/obesity,50,1936,559,279,728
https://www.healthline.com/health/oral-cancer,47,1446,404,199,561
https://www.healthline.com/health/osteoarthritis,103,2635,727,422,982
https://www.healthline.com/health/osteoporosis,100,2252,596,370,929
https://www.healthline.com/health/ovarian-cysts,65,1488,389,227,533
https://www.healthline.com/health/overactive-bladder,95,2821,750,454,1118
https://www.healthline.com/health/parasitic-infections,43,833,211,139,323
https://www.healthline.com/health/parkinsons,117,2953,924,471,1093
https://www.healthline.com/health/personality-disorders,45,1082,313,163,418
https://www.healthline.com/health/phobia-simple-specific,56,1317,365,187,522
https://www.healthline.com/health/pneumonia,96,2359,627,390,911
https://www.healthline.com/parenthood,25,806,172,167,345
https://www.healthline.com/health/premenstrual-syndrome,55,1499,402,214,536
https://www.healthline.com/nutrition/probiotics-101,76,3182,848,508,1009
https://www.healthline.com/health/prostate-cancer,73,2224,635,343,855
https://www.healthline.com/health/psoriasis,124,3095,859,477,1113
https://www.healthline.com/health/psoriatic-arthritis,97,2312,651,359,844
https://www.healthline.com/health/psychotherapy,80,2057,505,334,851
https://www.healthline.com/health/rheumatoid-arthritis,74,2499,714,391,923
https://www.healthline.com/health/seizures,78,2208,594,346,857
https://www.healthline.com/program/wellness#sex,28,739,158,152,310
https://www.healthline.com/health/shingles,84,2780,734,446,1081
https://www.healthline.com/health/chronic-pain/shoulder-pain,52,1315,376,202,493
https://www.healthline.com/health/sinusitis,33,1108,304,158,400
https://www.healthline.com/health/skin-disorders,50,1498,434,202,534
https://www.healthline.com/program/sleep,23,635,169,113,252
https://www.healthline.com/health/stress,75,2122,497,337,898
https://www.healthline.com/health/stroke,115,3218,894,507,1271
https://www.healthline.com/health/teething,38,967,246,149,398
https://www.healthline.com/health/tmj-disorders,53,1424,369,239,561
https://www.healthline.com/parenthood/toddler,7,133,26,26,54
https://www.healthline.com/health/tongue-problems-2,68,1803,463,262,695
https://www.healthline.com/health/type-1-diabetes-causes-symtoms-treatments,133,3390,904,539,1321
https://www.healthline.com/health/type-2-diabetes,79,2316,589,385,916
https://www.healthline.com/health/ulcerative-colitis,84,2387,656,399,944
https://www.healthline.com/health/urinary-incontinence,55,1479,382,223,558
https://www.healthline.com/health/vaccinations,89,2407,664,398,924
https://www.healthline.com/health/vaginal-infection,58,1439,354,208,563
https://www.healthline.com/health/vertigo,34,1353,355,224,503
https://www.healthline.com/nutrition/vitamins-and-supplements,23,722,202,117,262
https://www.healthline.com/nutrition/weight-management,32,903,193,204,336
https://www.healthline.com/nutrition/weight-management,32,903,193,204,336
https://www.healthline.com/program/wellness,28,739,158,152,310
https://www.healthline.com/health/fitness-exercises/definitive-guide-to-yoga,203,6212,1655,957,2508
